Reference, Value, Footprint, Datasheet
"U1","MCP1640t-i/chy","TO_SOT_Packages_SMD:SOT-23-6_Handsoldering",""
"C2","220uF/16V","Capacitors_SMD:CP_Elec_8x10",""
"C1","220uF/16V","Capacitors_SMD:CP_Elec_8x10",""
"R23","976k 1%","Resistors_SMD:R_0805_HandSoldering",""
"R22","309k 1%","Resistors_SMD:R_0805_HandSoldering",""
"L1","4.7uH","Inductors:INDUCTOR_V",""
"E1","Encoder_switch","BR_GoodLibraries:encoder_alps-ec12d",""
"C6","100n","Capacitors_SMD:C_0805_HandSoldering",""
"D20","WS2812B","LEDs:LED_WS2812B-PLCC4",""
"D21","WS2812B","LEDs:LED_WS2812B-PLCC4",""
"U5","HC-05","Pin_Headers:Pin_Header_Angled_1x06_Pitch2.54mm",""
"C3","220uF/16V","Capacitors_SMD:CP_Elec_8x10",""
"R51","220R","Resistors_SMD:R_0805_HandSoldering",""
"P40","LED-strip","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"R46","470R","Resistors_SMD:R_0805_HandSoldering",""
"R48","470R","Resistors_SMD:R_0805_HandSoldering",""
"D16","LED","LEDs:LED_D3.0mm",""
"D18","LED","LEDs:LED_D3.0mm",""
"D2","LED","LEDs:LED_D3.0mm",""
"R3","470R","Resistors_SMD:R_0805_HandSoldering",""
"Q1","BSS138","BR_GoodLibraries:SOT23_FET",""
"R2","220R","Resistors_SMD:R_0805_HandSoldering",""
"P10","In_Out","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"R1","220R","Resistors_SMD:R_0805_HandSoldering",""
"D3","LED","LEDs:LED_D3.0mm",""
"R6","470R","Resistors_SMD:R_0805_HandSoldering",""
"Q2","BSS138","BR_GoodLibraries:SOT23_FET",""
"R5","220R","Resistors_SMD:R_0805_HandSoldering",""
"P11","In_Out","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"R4","220R","Resistors_SMD:R_0805_HandSoldering",""
"D4","LED","LEDs:LED_D3.0mm",""
"R9","470R","Resistors_SMD:R_0805_HandSoldering",""
"Q3","BSS138","BR_GoodLibraries:SOT23_FET",""
"R8","220R","Resistors_SMD:R_0805_HandSoldering",""
"P12","In_Out","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"R7","220R","Resistors_SMD:R_0805_HandSoldering",""
"D5","LED","LEDs:LED_D3.0mm",""
"R12","470R","Resistors_SMD:R_0805_HandSoldering",""
"Q4","BSS138","BR_GoodLibraries:SOT23_FET",""
"R11","220R","Resistors_SMD:R_0805_HandSoldering",""
"P13","In_Out","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"R10","220R","Resistors_SMD:R_0805_HandSoldering",""
"D6","LED","LEDs:LED_D3.0mm",""
"R15","470R","Resistors_SMD:R_0805_HandSoldering",""
"Q5","BSS138","BR_GoodLibraries:SOT23_FET",""
"R14","220R","Resistors_SMD:R_0805_HandSoldering",""
"P14","In_Out","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"R13","220R","Resistors_SMD:R_0805_HandSoldering",""
"D9","LED","LEDs:LED_D3.0mm",""
"R26","470R","Resistors_SMD:R_0805_HandSoldering",""
"Q8","BSS138","BR_GoodLibraries:SOT23_FET",""
"R25","220R","Resistors_SMD:R_0805_HandSoldering",""
"P24","In_Out","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"R24","220R","Resistors_SMD:R_0805_HandSoldering",""
"D10","LED","LEDs:LED_D3.0mm",""
"R29","470R","Resistors_SMD:R_0805_HandSoldering",""
"Q9","BSS138","BR_GoodLibraries:SOT23_FET",""
"R28","220R","Resistors_SMD:R_0805_HandSoldering",""
"P25","In_Out","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"R27","220R","Resistors_SMD:R_0805_HandSoldering",""
"D11","LED","LEDs:LED_D3.0mm",""
"R32","470R","Resistors_SMD:R_0805_HandSoldering",""
"Q10","BSS138","BR_GoodLibraries:SOT23_FET",""
"R31","220R","Resistors_SMD:R_0805_HandSoldering",""
"P26","In_Out","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"R30","220R","Resistors_SMD:R_0805_HandSoldering",""
"D12","LED","LEDs:LED_D3.0mm",""
"R35","470R","Resistors_SMD:R_0805_HandSoldering",""
"Q11","BSS138","BR_GoodLibraries:SOT23_FET",""
"R34","220R","Resistors_SMD:R_0805_HandSoldering",""
"P27","In_Out","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"R33","220R","Resistors_SMD:R_0805_HandSoldering",""
"D13","LED","LEDs:LED_D3.0mm",""
"R38","470R","Resistors_SMD:R_0805_HandSoldering",""
"Q12","BSS138","BR_GoodLibraries:SOT23_FET",""
"R37","220R","Resistors_SMD:R_0805_HandSoldering",""
"P28","In_Out","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"R36","220R","Resistors_SMD:R_0805_HandSoldering",""
"D7","LED","LEDs:LED_D3.0mm",""
"R18","470R","Resistors_SMD:R_0805_HandSoldering",""
"Q6","BSS138","BR_GoodLibraries:SOT23_FET",""
"R17","220R","Resistors_SMD:R_0805_HandSoldering",""
"P15","In_Out","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"R16","220R","Resistors_SMD:R_0805_HandSoldering",""
"D14","LED","LEDs:LED_D3.0mm",""
"R41","470R","Resistors_SMD:R_0805_HandSoldering",""
"Q13","BSS138","BR_GoodLibraries:SOT23_FET",""
"R40","220R","Resistors_SMD:R_0805_HandSoldering",""
"P29","In_Out","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"R39","220R","Resistors_SMD:R_0805_HandSoldering",""
"P33","Motor 1","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"U4","ILI9341_LCD_Breakout_with_TS_IRQ","BR_GoodLibraries:LCD_2.8_Touch_screen",""
"R45","R-SIL 2K","Resistors_THT:R_Array_SIP9",""
"R50","220R","Resistors_SMD:R_0805_HandSoldering",""
"J1","Arduino_Due_Header","BR_GoodLibraries:ARDUINO_MEGA_SHIELD",""
"P1","Battery","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"U2","L9110","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C4","220uF/16V","Capacitors_SMD:CP_Elec_8x10",""
"R47","470R","Resistors_SMD:R_0805_HandSoldering",""
"R49","470R","Resistors_SMD:R_0805_HandSoldering",""
"D17","LED","LEDs:LED_D3.0mm",""
"D19","LED","LEDs:LED_D3.0mm",""
"P34","Motor 2","Connectors_Molex:Molex_MicroLatch-53253-0470_04x2.00mm_Straight",""
"U3","L9110","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"P9","ON/OFF Switch","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"P36","Tx Select","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"P37","Rx Select","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"P31","MOTOR1","BR_GoodLibraries:3.5mm_stereo_jack_PJ242_NBR",""
"P32","MOTOR2","BR_GoodLibraries:3.5mm_stereo_jack_PJ242_NBR",""
